tempo,demanda,alpha,beta
9.33511,615,0,0
218.395,3770,0,0
179.519,3350,0,0
218.395,3770,0,0
173.267,2915,0,0
169.933,2870,0,0
128.083,2550,0,0
108.237,2435,0,0
84.7828,2005,0,0
98.9086,2395,0,0
89.4121,2205,0,0
150.69,2840,0,0
58.2285,1760,0,0
81.511,1975,0,0
89.4121,2205,0,0
64.4997,1785,0,0
143.729,2740,0,0
129.572,2600,0,0
10.0391,645,0,0
21.7701,825,0,0
71.7668,1910,0,0
30.052,1000,0,0
53.7751,1610,0,0
71.7668,1910,0,0
16.0204,765,0,0
148.816,2745,0,0
37.5467,1430,0,0
47.7709,1460,0,0
108.237,2435,0,0
98.9086,2395,0,0
134.137,2710,0,0
134.137,2710,0,0
33.2154,1215,0,0
31.5176,1070,0,0
22.7139,980,0,0
37.5467,1430,0,0
36.0638,1285,0,0
48.5588,1550,0,0
53.7751,1610,0,0
22.7139,980,0,0
150.69,2840,0,0
64.2685,1765,0,0
36.0638,1285,0,0
33.2154,1215,0,0
48.5588,1550,0,0
47.7709,1460,0,0
31.5176,1070,0,0
16.0204,765,0,0
17.7931,815,0,0
128.083,2550,0,0
